flow_set,a_setpoint,pressure_sp,override_sp,level_sp,f1_valve_pos,f1_flow,f2_valve_pos,f2_flow,purge_valve_pos,purge_flow,product_valve_pos,product_flow,pressure,level,a_in_purge,b_in_purge,c_in_purge,f1_valve_sp,f2_valve_sp,purge_valve_sp,product_valve_sp,timestamp
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,65535,27163,52668,59989,40868,880,23785,0,65535,0,65425,1733020097.403422
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,65485,27131,52627,59983,40879,881,23774,0,65535,0,65315,1733020098.530513
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,65425,27095,52586,59977,40890,881,23762,0,65535,0,65195,1733020099.63202
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,65315,27039,52545,59971,40901,882,23750,0,65535,0,65025,1733020100.78294
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,65195,26978,52505,59965,40912,883,23739,0,65535,0,64845,1733020101.843131
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,65025,26897,52464,59959,40923,883,23727,0,65535,0,64615,1733020102.99111
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,64845,26812,52423,59953,40934,884,23715,0,65535,0,64375,1733020104.176025
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,64615,26706,52383,59947,40946,884,23703,0,65535,0,63795,1733020105.287647
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,64375,26596,52342,59942,40957,885,23692,0,65535,0,63445,1733020106.42105
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,64085,26466,52302,59936,40968,886,23680,0,65535,0,63095,1733020107.628746
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,63445,26180,52221,59925,40990,887,23657,0,65535,0,62695,1733020108.684449
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,63095,26025,52181,59919,41001,888,23645,0,65535,0,62285,1733020109.7497
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,62695,25850,52141,59914,41012,888,23633,0,65535,0,61835,1733020110.88992
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,62284,25671,52101,59908,41023,889,23621,0,65535,0,61364,1733020112.046178
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,61834,25475,52061,59903,41034,890,23609,0,65535,0,60864,1733020113.276682
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,61363,25271,52021,59898,41045,890,23598,0,65535,0,60343,1733020114.372714
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,60863,25055,51981,59893,41057,891,23586,0,65535,0,59223,1733020115.588872
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,60343,24831,51941,59888,41068,892,23574,0,65535,0,58623,1733020116.669104
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,59793,24595,51902,59883,41079,892,23562,0,65535,0,58003,1733020117.725237
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,58623,24094,51823,59873,41101,894,23539,0,65535,0,57353,1733020118.781056
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,58003,23830,51783,59869,41112,894,23527,0,65535,0,56693,1733020119.835966
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,57353,23554,51744,59864,41124,895,23515,0,65535,0,55993,1733020120.973201
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,56693,23273,51705,59860,41135,896,23503,0,65535,0,55293,1733020122.029549
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,55993,22977,51666,59856,41146,896,23491,0,65535,0,54553,1733020123.126373
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,55293,22681,51627,59852,41157,897,23479,0,65535,0,53813,1733020124.249859
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,54553,22368,51588,59848,41168,898,23467,0,65535,0,53033,1733020125.312133
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,53813,22056,51549,59844,41180,898,23455,0,65535,0,52253,1733020126.460839
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,53033,21728,51510,59841,41202,900,23432,0,65535,0,51443,1733020127.527443
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,52253,21400,51433,59834,41213,900,23420,0,65535,0,50593,1733020128.612033
19660,60000,55295,60000,60000,0,0,65535,5565,0,0,51443,21060,51394,59832,41225,901,23408,0,65535,0,49763,1733020129.67381
